.feature	.sample	counts	counts_scaled	group	sample_name	TMM	multiplier	PC1	PC2	.abundant	edgerQLT_logFC	edgerQLT_logCPM	edgerQLT_F	edgerQLT_PValue	edgerQLT_FDR	edgerLR_logFC	edgerLR_logCPM	edgerLR_LR	edgerLR_PValue	edgerLR_FDR
CACHD1	H9-hRGC_2	22.00000084927601	40.070098656532004	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	0.8451930559801087	8.148157204839734	4.581839156009277	0.052347155507572934	0.11277663664109071	0.840139838412525	8.148157204839734	3.9459819441184454	0.046983425770640644	0.1008588746418046
CACNA1E	H9-hRGC_2	88.00000095103204	160.28039017093062	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	-3.66681056596995	8.33945578977269	67.64693444884091	1.946036530700129e-6	5.1894307485336775e-5	-3.671390804453424	8.33945578977269	65.11584821749773	7.062181896695242e-16	2.3540606322317473e-14
CACNA2D1	H9-hRGC_2	80.99999845710602	147.53080927549095	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	-1.2490175546213729	8.911314489294801	11.476564235705263	0.00501133111227516	0.019991230526942332	-1.2441514736390937	8.911314489294801	9.892031918701512	0.0016599597374636426	0.0065309891310044955
CADM1	H9-hRGC_2	145.00000203957805	264.0983710286738	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	2.635129294995013	11.32064795244857	76.01575962939191	1.0301913752642862e-6	3.25323592188722e-5	2.6392396809339895	11.32064795244857	66.61492878230042	3.300768563596186e-16	1.1316920789472637e-14
CADM2	H9-hRGC_2	273.99999767987606	499.0548415948577	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	0.8654641155711391	11.207067206005345	9.553778527470744	0.008815276052276706	0.029798116233048018	0.8656246693941831	11.207067206005345	8.197796206592422	0.004194130348846132	0.014019377210627739
CADPS	H9-hRGC_2	264.0000028530961	480.8411705127918	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	-0.13761583462834434	10.537858191578373	0.33114897397491416	0.5750485154568012	0.6879942358406396	-0.1388198327434214	10.537858191578373	0.2844527725925996	0.5937974535308334	0.7097180719492032
CALB1	H9-hRGC_2	36.00000094498401	65.56925153701647	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	1.4730678358250027	9.348893167583961	9.25951781827639	0.00965853905329256	0.0314952360433453	1.4782041491133797	9.348893167583961	8.767211942064254	0.003066939035154831	0.010729815866430896
CALD1	H9-hRGC_2	71.99999944389602	131.13849861883554	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	0.5358399058342531	9.418355332402713	3.4717791354947116	0.08573175434137144	0.16764465593266506	0.5371597921157423	9.418355332402713	2.9057496525412576	0.08826420713767517	0.17083394929872614
CALR	H9-hRGC_2	668.9999975846982	1218.4952213454442	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	-0.32025975343997365	12.211560210830312	0.7723738171363612	0.3958245037011613	0.5307144183702721	-0.3139950027673335	12.211560210830312	0.7153014232631065	0.39768946576613673	0.5379713456043888
CAMSAP3	H9-hRGC_2	47.99999962926402	87.42566574589037	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	-0.6688389263614308	8.377464210411295	2.7757215470357313	0.1201866902078171	0.21908919244304348	-0.6486297827275985	8.377464210411295	2.386343820136771	0.12239959838420843	0.22220804547813935
CAMTA1	H9-hRGC_2	529.9999973333321	965.3250618764044	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	-0.037732350310494	12.218410023420383	0.010241484623122429	0.9209734079748115	0.9535531402672769	-0.0483394206473888	12.218410023420383	0.01609509919148877	0.8990460915193523	0.9422317116360024
