"transcript_id","biotype","gene_id","gene_name"
"ENST00000332972","protein_coding","ENSG00000185100","ADSS1"
"ENST00000333007","protein_coding","ENSG00000185215","TNFAIP2"
"ENST00000333055","protein_coding","ENSG00000131446","MGAT1"
"ENST00000333725","protein_coding","ENSG00000140262","TCF12"
"ENST00000333756","protein_coding","ENSG00000184507","NUTM1"
"ENST00000333822","protein_coding","ENSG00000204880","KRTAP4-8"
"ENST00000333881","protein_coding","ENSG00000244057","LCE3C"
"ENST00000334046","protein_coding","ENSG00000186925","KRTAP19-6"
"ENST00000334055","protein_coding","ENSG00000186965","KRTAP19-2"
"ENST00000334067","protein_coding","ENSG00000186970","KRTAP15-1"
"ENST00000334068","protein_coding","ENSG00000186971","KRTAP13-4"
"ENST00000334109","protein_coding","ENSG00000241595","KRTAP9-4"
"ENST00000334202","protein_coding","ENSG00000186860","KRTAP17-1"
"ENST00000334346","protein_coding","ENSG00000169688","MT1B"
"ENST00000334371","protein_coding","ENSG00000240386","LCE1F"
"ENST00000334438","protein_coding","ENSG00000186306","OR10T2"
"ENST00000334680","protein_coding","ENSG00000186924","KRTAP22-1"
"ENST00000334686","protein_coding","ENSG00000114805","PLCH1"
"ENST00000334849","protein_coding","ENSG00000244362","KRTAP19-7"
"ENST00000334857","protein_coding","ENSG00000184155","OR10J5"
"ENST00000334897","protein_coding","ENSG00000186930","KRTAP6-2"
"ENST00000334920","protein_coding","ENSG00000186723","OR10H1"
"ENST00000335093","protein_coding","ENSG00000187005","KRTAP21-1"
"ENST00000335102","protein_coding","ENSG00000075413","MARK3"
"ENST00000335123","protein_coding","ENSG00000186844","LCE1A"
"ENST00000335238","protein_coding","ENSG00000221954","OR4C12"
"ENST00000335286","protein_coding","ENSG00000164334","FAM170A"
"ENST00000335302","protein_coding","ENSG00000197233","OR1J2"
"ENST00000335304","protein_coding","ENSG00000186038","HTR3E"
"ENST00000335397","protein_coding","ENSG00000186509","OR9Q1"
"ENST00000335504","protein_coding","ENSG00000187243","MAGED4B"
"ENST00000335524","protein_coding","ENSG00000186143","PRR30"
"ENST00000335552","protein_coding","ENSG00000186393","KRT26"
"ENST00000335568","protein_coding","ENSG00000135226","UGT2B28"
"ENST00000335605","protein_coding","ENSG00000186113","OR5D14"
"ENST00000336070","protein_coding","ENSG00000153303","FRMD1"
"ENST00000336098","protein_coding","ENSG00000171557","FGG"
"ENST00000336443","protein_coding","ENSG00000101448","EPPIN"
"ENST00000336455","protein_coding","ENSG00000166140","ZFYVE19"
"ENST00000336769","protein_coding","ENSG00000219438","TAFA5"
"ENST00000336775","protein_coding","ENSG00000112276","BVES"
"ENST00000337103","protein_coding","ENSG00000165084","C8orf34"
"ENST00000337532","protein_coding","ENSG00000150054","MPP7"
"ENST00000337539","protein_coding","ENSG00000128271","ADORA2A"
"ENST00000337940","protein_coding","ENSG00000144852","NR1I2"
"ENST00000338150","protein_coding","ENSG00000164304","CAGE1"
"ENST00000338302","protein_coding","ENSG00000187800","PEAR1"
"ENST00000338354","protein_coding","ENSG00000187908","DMBT1"
"ENST00000338359","protein_coding","ENSG00000178882","RFLNA"
"ENST00000338498","protein_coding","ENSG00000188070","ZFTA"
