isoform_id	H9.FT_1	H9.FT_2	H9.hRGC_1	H9.hRGC_2
ENST00000301490.8	2.76033	0	0.81415	0.6949
ENST00000301764.12	83.99793	94.64916	66.99211	100.99431
ENST00000301894.6	3.18896	2.92985	1.60905	1.82026
ENST00000302003.11	1.9197	1.19261	0	1.13048
ENST00000302008.12	0.44242	0	0	0.51342
ENST00000302036.12	1.67344	1.58568	5.12592	5.15355
ENST00000302313.10	33.44584	33.82496	60.39763	44.49199
ENST00000302528.11	11.01189	9.42627	32.37517	11.9359
ENST00000302806.5	6.72728	1.24449	3.31511	4.52144
ENST00000302979.5	38.12118	42.03897	28.80014	34.4714
ENST00000303071.10	16.50177	20.08801	12.94067	9.40903
ENST00000303097.11	2.62366	4.60616	1.15876	2.51045
ENST00000303334.9	2.77253	0.82561	1.97618	2.23735
ENST00000303635.12	13.21292	14.45851	79.87811	49.96667
ENST00000303824.11	1.46735	1.77079	0	0
ENST00000303887.10	52.39939	51.58258	10.84528	21.5857
ENST00000304129.9	1.06357	1.41225	1.22371	1.51357
ENST00000304164.8	9.92347	9.5754	9.39075	6.0007
ENST00000304516.11	5.2226	4.21532	8.9274	10.89151
ENST00000304877.17	0.36202	0	0.28842	0.27333
ENST00000304886.6	1.1921	3.91	28.57775	41.18201
ENST00000304920.3	0.24896	0.37031	0	0
ENST00000305414.9	0	0	0	2.35846
ENST00000305747.11	21.9939	22.71883	0	3.52273
ENST00000305866.10	10.07559	6.67505	9.07444	15.10902
ENST00000306315.9	0.91791	1e-5	123.22513	51.48762
ENST00000306368.9	26.86069	33.21372	43.43145	58.93311
ENST00000306376.10	21.69062	12.89282	2.6817	2.92864
ENST00000306802.8	1.55702	3.72148	8.15199	3.86174
ENST00000306823.10	3.21544	5.39601	4.01754	8.77776
ENST00000306846.8	24.49363	23.33115	27.0276	32.2616
ENST00000306910.9	1.78034	0.89054	1.1782	0.43518
ENST00000307259.9	11.71246	9.28943	1.0641	3.24662
ENST00000307296.8	48.02208	47.86017	22.71159	28.1994
ENST00000307546.14	40.42428	43.419	14.38345	10.80444
ENST00000307671.12	5.13826	7.11577	2.72037	1.62227
ENST00000307677.5	14.27342	17.30187	10.08485	12.62301
ENST00000307712.11	63.58959	67.96096	34.18275	57.65245
ENST00000307826.5	15.44385	15.64271	6.71809	6.19422
ENST00000307944.6	5.28763	16.11987	0.6011	0.96558
ENST00000308153.9	90.88737	104.57283	57.44962	55.49103
ENST00000308159.10	27.87744	26.27353	24.48971	23.05623
ENST00000308162.10	470.17093	490.99384	3.74264	2.48615
ENST00000308639.13	0.2765	0.68808	0	1.16099
ENST00000308664.10	5.7581	2.61125	0.94175	3.05075
ENST00000309042.12	64.28061	49.8966	0	0.53762
ENST00000309117.11	16.48217	20.998169999999998	8.78687	8.2203
