"","gene_id","gene_name","DG-WT-hRGC","EP1-BRN3B-RO","H9-BRN3B-RO","hRGC"
"17813","MLLT10","MLLT10",1135.5078687157,1110.34397980216,923.574888167383,2026.31004279776
"17814","MLLT10P1","MLLT10P1",10.2128192642721,30.8455808303944,23.6595559527582,11.0190768164364
"17815","MLLT11","MLLT11",12320.9056495461,3013.16818434859,2350.05549254127,18098.6295695212
"17816","MLLT3","MLLT3",721.937587472965,448.273265665079,384.719792499316,883.446364905316
"17817","MLLT6","MLLT6",618.7610992376,938.668460518441,761.830087467043,1339.62271346522
"17818","MLN","MLN",0.999994715321423,6.99999920433058,2.00000914903713,2.00000304662724
"17819","MLNR","MLNR",2.0000045719837,3.00000620508581,6.61293578078011,4.00000609325449
"17820","MLPH","MLPH",1.02246446514786,14.006428848111,19.4780537028164,4.01831271069888
"17821","MLST8","MLST8",471.235941610809,702.258883406913,720.974569935441,591.621146397081
"17822","MLX","MLX",468.520099867299,542.832068242073,518.176996476217,685.948568738246
"17823","MLXIP","MLXIP",999.107871846299,1581.19068455065,1414.63701938873,940.138558457486
"17824","MLXIPL","MLXIPL",38.4266184395304,51.9938451316035,62.1280966646534,83.7900193056288
"17825","MLXP1","MLXP1",3.00646463984952,1.00000206836194,2.00170913252833,1.00067351260802
"17826","MLYCD","MLYCD",264.309986519506,338.057030366883,278.969719454275,382.805115997695
"17827","MMAA","MMAA",366.729725680359,405.197416678791,442.316290313869,476.35598343759
"17828","MMAB","MMAB",461.974437651014,420.208154920501,382.583370389292,606.779575450456
"17829","MMACHC","MMACHC",102.553755168746,244.318513586121,238.735824457431,130.207130006822
"17830","MMACHCP1","MMACHCP1",0,2.00001941092684,1.99999486346157,1.00000152331362
"17831","MMADHC","MMADHC",857.550840271621,841.052816427115,859.473496379983,1078.27744282916
"17832","MMADHCP1","MMADHCP1",0,0,1.00171884358532,0
"17833","MMADHCP2","MMADHCP2",0,3.42985282503145,8.01963640581179,1.7488012303937
"17834","MMD","MMD",2271.06954975679,1286.70852665524,1197.2323020674,4027.39662125394
"17835","MMD2","MMD2",6.00541917463576,158.401809226219,136.381589863461,15.0235017483844
"17836","MME","MME",274.005577580226,112.812834528675,115.29826603538,323.528349802706
"17837","MMEL1","MMEL1",5.99998343326939,4.00000827344774,13.3880271297001,24.6193256025956
"17838","MMGT1","MMGT1",582.133135819385,336.807768580274,384.847419831336,632.157230790125
"17839","MMP1","MMP1",0,5.0001936322453,7.00097486961666,3.00000456994087
"17840","MMP10","MMP10",2.99999928730512,3.00000620508581,11.9999977519205,2.00000304662724
"17841","MMP11","MMP11",68.5405044784808,38.7025239180819,23.703641238925,57.7245727414865
"17842","MMP12","MMP12",0,6.99999920433058,7.00000345047883,3.00000456994087
"17843","MMP13","MMP13",5.06470280875537,18.7288305509642,24.1109372836115,9.17310186141024
"17844","MMP14","MMP14",92.0122325358878,581.70193632788,247.4393256507,271.329789388807
"17845","MMP15","MMP15",812.393592995941,116.117622179799,94.9441208404205,441.691761862317
"17846","MMP16","MMP16",852.802833748155,275.268646335836,126.7082838024,756.278275937446
"17847","MMP17","MMP17",350.202452474633,196.830695798116,107.843795569728,424.552349095677
"17848","MMP19","MMP19",37.2940007196741,49.9659961228676,51.8057254781903,60.0927444681966
"17849","MMP2","MMP2",228.301001115377,405.03184431861,363.382142569606,253.423575747322
