"gene","logFC","logCPM","F","PValue","FDR"
"ENSG00000213160",-0.283567949024754,6.33846939274183,3.32085237683713,0.0894676879792198,0.120255893768234
"ENSG00000184564",-0.82292790239468,2.74137718215416,3.32123677999315,0.0894688234291627,0.120255893768234
"ENSG00000186787",-0.412288444426371,4.34670531723466,3.31652656475233,0.0896579349208112,0.120498130879194
"ENSG00000104290",-0.262466958445293,7.66802887096536,3.31450257538315,0.0897445254242918,0.120602547848587
"ENSG00000174371",0.452671665218532,3.78480399241477,3.31190382066021,0.089860778844208,0.120746802464003
"ENSG00000164209",0.368530807987203,5.97407752161434,3.31066457420619,0.0899126252314153,0.120804492702875
"ENSG00000166171",-0.34026044832709,5.69020098036022,3.30152985545736,0.0903139793542873,0.121331715350184
"ENSG00000136531",0.341499959764042,4.69870850880312,3.29859909962375,0.0904440913669007,0.121494471197916
"ENSG00000114251",-0.391021486126219,4.60527161517972,3.29769004321583,0.0904845985400824,0.12153683962068
"ENSG00000137409",-0.735825533991576,7.57838502464952,3.29631788015597,0.0905436362289021,0.121604086944762
"ENSG00000163291",0.475224976396512,4.58849541889305,3.29585457531029,0.0905653068915847,0.121621140355547
"ENSG00000133028",0.324123890854098,4.65693159956485,3.29052098132619,0.0908013541292387,0.121926050511958
"ENSG00000148734",-0.700390072488259,3.96845281996581,3.28903854838337,0.090869084134807,0.122004909991399
"ENSG00000047648",0.845898740403541,3.51922764861404,3.28793086838318,0.0909186006800387,0.12205930206193
"ENSG00000112290",-0.423360250594134,7.01175060058684,3.28608780807712,0.0909969490625245,0.122152386609236
"ENSG00000135678",-0.717527013715333,1.96157503452289,3.28582093290573,0.0910702360805859,0.122238659124209
"ENSG00000151117",-0.586980927964188,3.71943472020947,3.28408037446449,0.0910903421909249,0.122253539761937
"ENSG00000127928",-0.804822324617947,4.82310530475892,3.28255186144627,0.0911555344139935,0.122328922123492
"ENSG00000141179",0.510406056158732,3.86198386738005,3.28234691265913,0.0911658348252437,0.122330633127547
"ENSG00000163377",1.01747013061047,4.71462852922444,3.27464029250697,0.0915084300612401,0.122778188581474
"ENSG00000173402",-0.309775650802366,6.26585826365261,3.27342117651567,0.0915622045606897,0.122838178819716
"ENSG00000267060",0.506682285972784,2.10860477372481,3.27132419140726,0.0916742507782497,0.122976325717379
"ENSG00000125952",0.205000819094464,5.50872675263093,3.26745474456614,0.0918298714787474,0.123172892431761
"ENSG00000176641",-0.520253721115468,3.15375735716646,3.26683635338982,0.0918653036627168,0.123208225395257
"ENSG00000004777",-0.447891916221884,5.6724123606841,3.26256842760214,0.0920497604015454,0.123443400859063
"ENSG00000130032",-0.589250145873208,2.21559862829416,3.25739561659798,0.0923177249558601,0.123790506930325
"ENSG00000173193",0.661509346049788,4.35225351508936,3.2529317104542,0.0924862915057579,0.124004272931946
"ENSG00000143401",0.312193947165281,7.33959346895251,3.25200734136995,0.0925268968272559,0.124046445063959
"ENSG00000169247",0.990754319564163,2.53722930948937,3.25123632767912,0.0925722672571858,0.12409499657837
"ENSG00000132481",0.807568054994757,1.05079090690805,3.25175072573419,0.0926274942882318,0.124156750156516
"ENSG00000077150",0.475203637751625,2.59285796226058,3.24876331730313,0.0926840546004698,0.124220278458891
"ENSG00000184428",0.34602645160955,3.95516392044071,3.24776455124622,0.0927217095429185,0.124258458685458
"ENSG00000105088",0.714963849522699,4.98043466420011,3.24538117005801,0.0928288720323238,0.12437892563142
"ENSG00000187033",1.31368040273211,1.84412741839608,3.24590743613883,0.0928299551193336,0.12437892563142
"ENSG00000138175",0.285155743900433,7.08940202916942,3.24177023711842,0.0929924965787775,0.124584392470965
"ENSG00000171124",1.14161018896869,0.438876943500973,3.2470738325806,0.0930290085371919,0.124620990483603
"ENSG00000163485",-0.483705320393011,3.42126308671893,3.24051847472726,0.0930551399359536,0.124636813540927
"ENSG00000242220",1.12143973374007,0.821678023200212,3.24328608452959,0.0930592115267952,0.124636813540927
"ENSG00000125144",1.51948098265385,1.25775186432587,3.23992684178178,0.0931456804474846,0.124740297676633
"ENSG00000083093",0.613372656692372,4.2203515665553,3.23080100913268,0.0934961929655951,0.125197332489199
"ENSG00000122642",-0.760097575737823,5.69376342382806,3.23025062680809,0.0935202425783943,0.125217165653221
"ENSG00000157103",-0.941161762693086,4.20583031598948,3.22686055712974,0.0936786701159645,0.125416899916217
"ENSG00000143387",0.477649408461975,2.63325474921379,3.22438295053667,0.0937991738900994,0.125565827447546
"ENSG00000170852",-0.251247681227868,5.78855320434476,3.22145280122306,0.0939251716069059,0.125722079395615
"ENSG00000158077",1.12105639521149,0.574966276959567,3.22457351824782,0.0939932677100308,0.125800804832799
"ENSG00000147650",0.295602062104179,4.80932442414901,3.21559482329371,0.0941970112464485,0.126061047633725
"ENSG00000170854",0.626995340713842,4.87946763582622,3.21535184084147,0.0942080768324095,0.126063409357931
"ENSG00000156171",0.357732179673819,6.21119063871626,3.21353034700419,0.0942915935799089,0.12616130592694
"ENSG00000112576",-0.30778966793316,4.3241660815467,3.21338989646649,0.0942998517298088,0.12616130592694
"ENSG00000126773",0.324014452272222,7.29547238615997,3.20552644482293,0.0946637278211981,0.126635626420106
"ENSG00000196890",-0.636142714744799,4.45728994831428,3.20169320566171,0.0948444994584871,0.126864930983947
"ENSG00000099204",-0.332379624114893,7.34024748082256,3.20118766568842,0.094866208683049,0.126881447847844
"ENSG00000163577",-0.364312497568621,3.6402230269441,3.19781867212266,0.0950278276911112,0.127085069218088
"ENSG00000184557",-0.932869090865779,3.16973414424825,3.19427089205917,0.0952008197258001,0.127303858579666
"ENSG00000164535",0.25506031427372,4.71403941558624,3.19354755950564,0.0952251982261347,0.127323896296442
"ENSG00000008405",-0.297379200360278,6.31024359472354,3.19234645193818,0.0952806210847006,0.127385434817719
