"","LR__H9_CRX_ROs_D45","LR__EP1_WT_ROs_D45","SR__D0_1","SR__D0_2","SR__D0_3","SR__D10_3","SR__D10_4","SR__D10_5","SR__D10_6","SR__D25_1","SR__D25_2","SR__D25_3","SR__D25_4"
"ENSG00000115204",614,615,2218,1912,1727,2591,3119,2234,2154,2360,2299,2353,2517
"ENSG00000115207",463.99999,484,5258,4702,3905,4627,3011,4345,4848,3507,3580,2911,3194
"ENSG00000115211",479,506.00001,2871,2260,2024,2482,2286,2235,2316,2349,2203,1896,2001
"ENSG00000115216",987.99999,921,5591,4598,4149,6180,5342,6133,6355,3977,3849,3274,3545
"ENSG00000115226",203,150,50,34,35,33,73,49,42,60,42,48,65
"ENSG00000115232",29,61,32,44,47,216,108,184,235,74,60,82,83
"ENSG00000115233",1189,1393,4569,4241,3602,4102,4485,3441,3661,3925,3496,3818,3931
"ENSG00000115234",1017,1076,3797,3054,2744,4747,5005,4308,4521,5344,5296,5009,4816
"ENSG00000115239",1035,1186.99999,1310,1118,1013,1587,1269,1251,1268,1737,1679,1676,1608
"ENSG00000115241",1814,1690,2519,2783,3587,3887,3866,4314,3433,3190,2464,3045,4716
