variants_overlapped.counts_per_read	variants_overlapped.Freq	sample	sample_clean	Freq_percentage
42	88	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.0014217922952106119
43	62	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.0010017172988983857
44	45	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	7.270528782326993e-4
45	62	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.0010017172988983857
46	47	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	7.593663394874859e-4
47	29	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	4.685451881944062e-4
48	31	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	5.008586494491929e-4
49	37	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	5.977990332135528e-4
50	35	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	5.654855719587661e-4
51	18	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	2.908211512930797e-4
52	20	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	3.231346125478663e-4
53	25	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	4.039182656848329e-4
54	20	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	3.231346125478663e-4
55	17	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	2.746644206656864e-4
56	18	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	2.908211512930797e-4
57	12	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	1.938807675287198e-4
58	4	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	6.462692250957326e-5
59	10	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	1.6156730627393316e-4
60	2	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	3.231346125478663e-5
61	7	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	1.1309711439175322e-4
62	5	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	8.078365313696658e-5
63	12	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	1.938807675287198e-4
64	9	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	1.4541057564653985e-4
65	8	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	1.2925384501914652e-4
66	6	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	9.69403837643599e-5
67	9	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	1.4541057564653985e-4
68	4	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	6.462692250957326e-5
69	5	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	8.078365313696658e-5
70	4	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	6.462692250957326e-5
71	6	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	9.69403837643599e-5
72	3	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	4.847019188217995e-5
73	4	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	6.462692250957326e-5
74	4	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	6.462692250957326e-5
75	5	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	8.078365313696658e-5
76	3	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	4.847019188217995e-5
78	3	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	4.847019188217995e-5
79	1	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	1.6156730627393316e-5
80	1	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	1.6156730627393316e-5
83	1	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	1.6156730627393316e-5
84	1	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	1.6156730627393316e-5
85	1	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	1.6156730627393316e-5
86	1	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	1.6156730627393316e-5
87	1	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	1.6156730627393316e-5
89	2	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	3.231346125478663e-5
90	3	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	4.847019188217995e-5
