H9.BRN3B_hRO_2_h1	H9.BRN3B_hRO_2_h2	H9.BRN3B.RO_h1	H9.BRN3B.RO_h2	H9.CRX_hRO_2_h1	H9.CRX_hRO_2_h2	H9.CRX_ROs_D45_h1	H9.CRX_ROs_D45_h2	H9.FT_1_h1	H9.FT_1_h2	H9.FT_2_h1	H9.FT_2_h2	H9.hRGC_1_h1	H9.hRGC_1_h2	H9.hRGC_2_h1	H9.hRGC_2_h2
37	38	40	58	24	29	215	251	162	227	156	218	6	6	41	64
0	0	1	3	0	1	1	0	7	1	4	1	1	0	1	4
0	0	2	0	2	0	0	0	2	1	5	4	0	0	4	9
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	0	2	1	3	1	2	0	0	0	3	0	0	0	2	0
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1	1	3	1	3	1	5	6	1	0	4	3	0	1	6	5
0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	2
0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1
0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	3
28	32	35	44	19	23	47	49	75	57	49	56	22	25	111	98
0	2	0	0	1	0	0	0	0	1	4	0	1	0	3	4
19	15	12	14	16	15	6	14	10	23	8	15	4	3	19	12
2	0	3	0	3	1	2	0	3	0	5	2	0	0	3	0
141	126	264	155	132	108	186	178	152	132	138	109	40	30	263	185
104	103	271	289	84	88	258	244	167	217	143	154	77	65	274	272
0	3	5	2	2	1	0	4	3	0	3	1	0	0	15	5
15	28	31	51	22	18	31	51	29	38	30	23	10	7	53	49
2	1	4	8	4	1	3	5	7	4	1	7	3	5	12	5
0	0	0	0	1	0	0	0	0	1	1	0	0	0	2	1
0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1
0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
0	1	1	0	0	1	1	0	0	0	0	2	0	0	1	0
0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
1	0	1	4	1	4	3	4	1	0	0	0	0	0	0	2
0	0	2	2	1	0	0	2	0	0	0	0	0	0	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1	1	0	0	1	1	0	0	1	0	1	0	1	5	4
54	51	94	112	58	63	99	97	83	90	91	93	6	4	54	71
1	0	4	2	0	1	2	1	2	2	1	2	0	0	0	2
2	2	11	9	3	3	4	2	4	0	3	3	1	0	2	0
3	0	1	1	2	0	4	1	2	1	2	0	0	0	0	1
4	1	2	6	4	2	8	6	7	2	2	1	0	0	2	1
0	0	1	1	0	0	0	0	1	0	1	1	0	0	1	0
2	19	10	29	3	20	7	25	7	39	5	25	2	5	6	37
5	6	10	9	8	3	12	14	14	15	16	9	3	5	18	17
0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2
40	47	84	63	54	47	38	41	25	41	28	37	21	20	55	71
36	33	87	61	29	31	89	100	75	65	43	52	14	21	75	64
1	0	5	3	0	1	1	2	1	2	3	3	0	0	3	1
6	3	7	6	5	6	4	3	11	9	9	17	10	4	20	21
16	14	26	12	20	24	17	11	14	8	22	19	9	1	28	27
10	6	10	10	9	6	9	10	3	7	6	5	1	0	14	6
2	2	3	2	1	2	1	0	1	2	1	5	0	0	8	4
1	2	2	2	0	1	0	0	0	1	1	4	0	0	3	3
6	17	18	19	17	17	41	37	19	22	9	21	2	0	15	11
3	7	6	14	2	2	2	5	2	4	0	4	3	0	4	1
59	110	107	220	61	108	85	141	58	115	72	94	19	41	103	156
53	65	81	152	45	66	81	87	49	86	66	74	12	30	92	113
7	6	18	17	6	6	29	24	11	27	14	16	3	2	19	24
7	7	8	6	7	2	6	4	3	5	6	0	2	0	5	4
0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	3
0	1	0	1	0	1	0	0	0	2	0	1	0	0	0	0
32	20	101	96	31	24	56	43	48	40	44	35	8	5	44	37
4	0	1	2	0	2	2	1	2	2	0	1	0	1	2	0
3	0	2	1	2	1	0	0	0	0	2	0	1	1	3	2
207	288	294	317	199	286	465	666	677	869	399	522	23	32	133	214
194	270	279	305	183	270	432	624	658	845	372	502	21	30	123	205
12	15	58	59	7	13	57	50	41	41	24	26	5	9	56	67
35	43	130	139	37	37	94	91	76	65	48	45	17	27	95	110
10	15	54	63	8	12	52	49	41	38	25	25	6	10	54	67
15	16	20	29	7	7	13	16	9	15	17	12	7	9	24	32
0	0	3	5	0	0	1	0	0	0	0	0	0	0	0	0
