isoform_id	EP1.BRN3B.RO	EP1.WT_ROs_D45	H9.BRN3B.RO	H9.CRX_ROs_D45
ENST00000265529.7	0.22724	0.56965	0.273	0.23233
ENST00000265577.11	0.18558	1.27753	0	1.37009
ENST00000265602.11	10.59486	11.67664	13.58246	5.50193
ENST00000265709.14	2.56566	2.73834	2.18539	2.30805
ENST00000265713.8	29.99105	51.3391	24.52488	53.08794
ENST00000265717.5	11.20978	14.83874	17.90507	13.00642
ENST00000265728.6	10.48325	33.65338	5.19781	33.15892
ENST00000265748.7	7.40323	18.60028	2.20487	17.29222
ENST00000265755.7	4.29066	5.75823	3.37451	8.38636
ENST00000265810.8	0.21846	0	0.5324	0.29501
ENST00000265986.11	11.55246	27.05558	14.60198	23.25275
ENST00000265997.5	3.09946	1.87382	2.70868	2.62051
ENST00000266068.5	4.53326	0	6.35482	0
ENST00000266458.10	39.77123	23.28928	58.23136	17.6158
ENST00000266503.10	2.41502	0.94166	2.02968	2.87568
ENST00000266880.11	0.68867	0.31297	2.57807	0.26094
ENST00000266943.11	7.02454	2.21393	10.6633	1.4772
ENST00000267215.8	3.87787	0.2972	0.81246	0.79015
ENST00000267436.9	9.3293	4.78512	8.04031	7.89605
ENST00000267484.10	14.34646	11.04091	19.50315	7.01679
ENST00000268043.8	0	10.83761	0.04606	10.38619
ENST00000268148.13	3.95077	5.65926	3.14111	4.25507
ENST00000268603.9	37.51942	93.9652	23.33907	82.25774
ENST00000268676.11	0.62101	1.81316	0.61029	1.56959
ENST00000268699.9	4.83258	2.59144	0.81263	0
ENST00000268711.4	10.30145	15.29474	8.93248	14.93608
ENST00000269051.9	13.4645	16.22911	15.75091	10.63145
ENST00000269197.12	2.55284	4.72367	1.61804	3.17138
ENST00000269299.8	2.84671	3.27531	4.53041	3.00685
ENST00000269439.12	11.71348	30.49629	9.74464	26.46035
ENST00000269445.10	13.14819	21.56412	13.98496	25.29121
ENST00000269571.10	4.23634	11.80898	1.39315	13.44328
ENST00000269844.5	0.08953	0	0.15757	0.10097
ENST00000270139.8	10.37979	9.50685	15.04427	12.58511
ENST00000270176.10	14.27716	16.01402	11.99408	18.74401
ENST00000271373.9	7.95041	1.47655	11.56913	2.46655
ENST00000271411.8	2.51033	4.66223	1.16005	2.0949
ENST00000271620.8	7.6488	7.13832	6.45359	7.10292
ENST00000271651.8	2.9179	0	1.1032	0.21796
ENST00000271883.9	6.3876	4.79769	6.44913	6.40043
ENST00000272274.8	1.13104	1.72671	0.78294	2.70881
ENST00000272321.12	4.33101	5.84334	6.92111	11.3642
ENST00000272322.9	13.55315	22.20044	9.41264	29.37089
ENST00000272433.7	14.17333	3.24646	11.47398	5.29299
ENST00000272438.9	20.47171	30.12032	23.66323	32.06416
ENST00000272746.9	0	1.90495	0.19788	1.55604
ENST00000272902.10	9.67221	9.34214	6.50323	6.62277
ENST00000272907.8	6.64697	4.43624	4.93297	2.60502
ENST00000273009.10	3.34046	0.4098	2.41941	2.0732
ENST00000273130.9	43.67105	62.02488	55.80392	65.60938
ENST00000273353.5	0	0.12415	2.40142	0
ENST00000273368.8	0.57199	2.24766	0.18218	1.58049
ENST00000273666.10	4.87254	0.36518	3.10843	0.69481
ENST00000274134.5	0.67051	4.05283	0.75621	2.21487
ENST00000274254.9	2.31523	4.71743	2.4376	3.29353
ENST00000274255.11	13.90714	68.92344	9.22314	60.89104
ENST00000274680.9	5.56321	9.59991	6.31195	8.79595
ENST00000274867.9	0.43041	0.29122	0.71784	1.70321
ENST00000275235.8	0.19794	0.43267	0.20752	0.09399
ENST00000275605.8	7.33995	4.35088	6.2692	7.4909
ENST00000275884.10	10.51909	14.65608	3.89211	9.1329
ENST00000276052.10	24.03738	0	25.88484	0
ENST00000276201.7	18.89434	14.85479	21.08613	15.04609
ENST00000276393.8	1.67347	0	0	0.15995
ENST00000276431.9	3.47442	5.03725	3.55623	6.39974
ENST00000276520.12	7.48832	1.21173	9.62303	2.0232
ENST00000276602.10	12.30086	19.7949	7.78942	14.66638
ENST00000276603.10	39.91102	30.30618	32.42318	26.56162
ENST00000276646.14	1.81225	2.99723	2.84073	1.408
ENST00000277540.7	7.17325	11.95874	7.73641	14.15407
ENST00000277817.10	6.65782	1.01761	1.38187	2.14992
ENST00000278070.7	9.94742	14.98293	7.96107	19.10249
ENST00000278590.8	0.57016	0.96639	0.36945	1.46059
ENST00000278772.9	1.56031	5.22892	2.71966	3.23966
ENST00000278833.4	150.66811	1.11913	200.12296	2.05166
ENST00000278856.9	13.48251	12.34427	14.65364	15.18203
ENST00000279024.9	4.0883	0.17656	0.68711	0.38393
ENST00000280241.12	6.70629	3.78871	0.62693	3.41865
ENST00000280346.11	12.88523	27.81687	12.20592	30.73111
ENST00000280560.13	2.22205	1.716	1.39297	2.26716
ENST00000280969.9	5.50781	26.51457	4.37419	18.25366
ENST00000281129.7	1.20247	0	4.77173	0
ENST00000281405.9	11.23853	22.37076	6.65207	16.48973
ENST00000281523.8	20.00716	37.32066	22.10188	22.61169
ENST00000281923.4	11.43545	4.20056	7.56376	3.08737
ENST00000281961.3	6.35807	9.99632	5.0179	7.56461
ENST00000282007.7	79.49899	56.5478	55.90605	39.563720000000004
ENST00000282110.8	1.53859	0.89759	1.25334	0.97369000000000006
ENST00000282185.8	7.07566	5.10412	1.96356	4.14538
ENST00000282268.7	0	0	0.35274	0.7148
ENST00000282292.9	2.0248	3.07479	1.78701	2.0104
ENST00000282369.7	6.66819	11.00526	17.8948	9.74941
ENST00000282397.9	68.95019	0.80371	57.76827	1.31883
ENST00000282903.10	0	0	1e-5	5.85105
ENST00000282999.7	1.6351	0.28684	0.63998	0.31946
ENST00000283254.12	8.48953	5.88757	5.17103	4.34126
ENST00000283256.10	1.77553	0	0	0
ENST00000283268.8	19.21036	20.2959	10.30523	27.24476
ENST00000284440.9	88.05356	175.90892	98.57758	167.61552
ENST00000284548.16	1.63957	5.52793	1.3291	5.76211
ENST00000284617.7	3.14022	0.91094	3.58466	0.47445
ENST00000284776.11	0	0.98943	2.54035	4.64478
ENST00000284995.11	0.92163	2.68131	1.40369	1.78483
ENST00000285071.9	15.15514	7.19364	14.39111	6.7568
ENST00000285908.5	5.78816	2.91393	4.97379	3.45024
ENST00000286122.11	1.02489	0	0.37405	0.28644
ENST00000286544.5	3.89085	0.96174	3.01748	1.09422
ENST00000286692.8	2.69284	1.68921	4.58009	1.80053
ENST00000287156.9	28.25563	26.94751	25.80833	26.00407
ENST00000287275.6	1.40226	0.68391	1.12437	1.11376
ENST00000287387.7	6.46002	13.93689	6.42918	12.19507
ENST00000287463.8	2.11919	1.5773	0.85265	1.02758
ENST00000288350.8	0.72492	0.5406	0.05354	0.18722
ENST00000288398.10	9.61253	1.62698	16.6308	11.26566
ENST00000288422.4	5.28806	7.8043	4.0753	3.10133
ENST00000288532.11	12.12044	30.66998	9.73841	31.43014
ENST00000289316.2	2.98742	4.4019	3.49803	4.26362
ENST00000289371.11	147.72629	186.72521	114.79681	210.34189
ENST00000289495.7	2.29015	2.72226	4.88841	2.75252
ENST00000289577.9	4.41565	2.47699	2.1269	1.18194
ENST00000289734.13	2.85146	1.98657	3.228	1.68606
ENST00000289815.13	1.28032	0.91775	1.18683	0.71585
ENST00000289877.8	1.36379	0.3654	1.89473	0.20182
ENST00000290039.6	8.27808	13.27857	5.00547	4.97315
ENST00000290291.10	9.11999	17.81779	4.31648	11.53823
ENST00000290390.9	0	0	0	0
ENST00000290541.7	100.7451	131.63264	79.69124	140.07706
ENST00000290583.9	29.80968	24.4971	27.08667	23.40103
ENST00000290585.8	6.24942	1.21626	7.2952	0.54813
ENST00000290881.11	6.94812	2.50404	6.93016	3.45761
ENST00000290942.9	0.25481	2.57436	0.32817	1.18328
ENST00000290943.10	0	0.88671	0.08856	1.78046
ENST00000291182.9	2.70294	2.59681	2.86851	5.78255
