isoform_id	EP1.BRN3B.RO	EP1.WT_hRO_2	H9.BRN3B_hRO_2	H9.BRN3B.RO	H9.CRX_hRO_2
ENST00000282007.7	1303.95056	229.11422	240.43172	894.99959	214.11687
ENST00000282268.7	0	0	0	5.64705	4.87458
ENST00000282397.9	1130.92807	162.39276	113.83834	924.81189	214.28617
ENST00000282903.10	0	0	145.85557	1.6e-4	38.02964
ENST00000282999.7	26.81902	10.9116	14.65023	10.24542	8.21698
ENST00000283254.12	139.2461	73.80853	73.78644	82.78293	86.88106
ENST00000283256.10	29.12237	0	4.19868	0	0
ENST00000283268.8	315.09033	439.94024	634.86711	164.97637	588.75157
ENST00000283269.13	4.6689	0	0	0	90.36817
ENST00000283426.11	55.98662	73.70084	50.24551	83.71797	26.98045
ENST00000283628.9	10.20519	2.77435	2.59108	4.23601	2e-5
ENST00000283629.8	291.87718	55.70587	79.75881	274.02181	53.98691
ENST00000284041.7	11.37588	0	10.34592	30.46298	21.13024
ENST00000284440.9	1444.2636	1538.82565	1650.18484	1578.1278	974.6374
ENST00000284476.7	25.36958	25.51219	39.52379	37.83237	38.44143
ENST00000284548.16	26.89243	20.5714	39.98664	21.27761	24.57069
ENST00000284617.7	51.50629	0	2.51191	57.38677	0
ENST00000285199.12	45.91189	9.44346	14.07918	56.99804	17.84226
ENST00000285273.8	41.7157	1.12643	6.30234	10.88467	0
ENST00000285397.9	14.6037	68.57273	106.10738	53.30554	36.24252
ENST00000285871.5	165.60798	41.90919	58.98162	196.16521	52.75995
ENST00000285908.5	94.93804	7.44149	20.68911	79.62536	21.09009
ENST00000286190.9	23.6388	5.44627	5.3963	50.42416	2.75717
ENST00000286437.7	70.8358	55.10903	39.65836	97.09182	42.7224
ENST00000286627.10	177.17981	3.63288	6.19055	150.35768	3.97867
ENST00000286628.14	28.36722	18.98208	3.525	47.01883	6.05921
ENST00000287272.6	29.42002	30.6	24.80003	19.81093	18.91882
ENST00000287387.7	105.95796	73.61032	137.61071	102.92467	129.01278
ENST00000287771.9	2.11313	0	0	7.69906	0
ENST00000288532.11	198.80073	219.66613	226.90785	155.90214	182.81128
ENST00000288548.5	13.33043	1.13099	2.03273	6.41852	2.68365
ENST00000288828.9	328.52225	193.37599	219.25144	261.14924	174.54573
ENST00000288873.7	39.6337	11.06236	2.15237	2.60897	0
ENST00000289153.6	0	7.077	11.66605	173.27031	5.04946
ENST00000289488.8	84.28623	44.30446	38.28704	114.85817	37.79882
ENST00000289495.7	37.56332	16.9241	16.78402	78.25851	28.31545
ENST00000290178.4	9.09606	6.84576	9.605	13.47949	11.110900000000001
ENST00000290541.7	1652.43153	939.691	984.67169	1275.77656	1142.30132
ENST00000290943.10	0	0	9.33353	1.41781	5.7
ENST00000291750.6	57.87741	77.11765	130.43103	57.67059	69.33333
ENST00000291775.3	136.07864	302.18244	346.74296	108.55759	333.92404
ENST00000291839.10	7.37452	24.46397	18.05815	4.47598	11.41089
ENST00000292291.10	17.28467	4.73726	0	11.19705	5.26695
ENST00000292433.4	10.54521	15.36465	60.65793	2e-5	64.4592
ENST00000293760.10	447.23886	111.74951	99.69516	351.13838	52.61829
ENST00000293831.13	4100.9142	1873.65994	2337.27856	3034.93275	2042.62369
ENST00000294785.10	539.77693	346.22607	407.41514	483.0836	338.33494
ENST00000295006.6	503.39234	194.99891	231.46805	328.49326	143.70216
ENST00000295031.9	20.18224	1.80808	4.30899	1.56837	0
ENST00000295211.5	0	1.08906	1.51825	0	0
ENST00000295470.10	175.88366	132.95615	37.38686	372.57274	36.06725
ENST00000295491.9	546.62719	257.57498	231.76225	445.48122	267.91112
ENST00000295497.13	97.20087	30.63011	38.84391	90.95896	81.27472
ENST00000295566.8	0	0	0	0	0
