"","EP1-WT_ROs_D45","H9-CRX_ROs_D45","EP1-WT_hRO_2","H9-BRN3B_hRO_2","H9-CRX_hRO_2","EP1-BRN3B-RO","H9-BRN3B-RO"
"ENST00000688162",4,2,5,2,2,11,9
"ENST00000460594",2,3,0,3,3,9,0
"ENST00000693337",25,19,7,17,13,22,13
"ENST00000465911",9,4,5,1,1,14,7
"ENST00000490738",428,348,133,172,184,225,200
"ENST00000303635",251,166,231,252,227,475,531
"ENST00000476163",272,230,90,84,90,192,122
"ENST00000700414",9,10,10,6,3,27,30
"ENST00000473578",922,720,250,313,313,542,391
"ENST00000700415",5,3,8,5,5,11,12
"ENST00000700416",25,17,8,9,14,22,29
"ENST00000486138",4,2,2,1,1,2,4
"ENST00000467404",11,12,9,3,5,14,12
"ENST00000476864",38,31,22,31,21,52,59
"ENST00000700417",11,9,8,5,10,13,20
"ENST00000470648",13,10,8,5,5,22,19
"ENST00000472283",1,5,4,1,3,3,1
"ENST00000467267",3,3,4,1,4,8,4
"ENST00000700420",3,4,4,0,6,2,1
"ENST00000700421",10,6,3,2,0,6,7
"ENST00000495233",23,7,7,11,2,46,47
"ENST00000700422",8,2,1,1,0,3,7
"ENST00000710284",42,21,17,12,12,62,40
"ENST00000710285",19,21,15,7,8,38,30
"ENST00000700424",3,2,6,0,3,8,18
"ENST00000700425",5,0,5,3,2,6,6
"ENST00000700446",21,10,8,8,10,43,18
"ENST00000700447",5,3,1,1,4,9,8
"ENST00000490905",18,11,3,3,3,15,17
"ENST00000700448",1,7,0,3,0,3,1
"ENST00000054666",545,596,306,315,260,574,418
"ENST00000470357",12,6,7,7,1,8,12
"ENST00000487194",15,10,2,6,3,4,12
"ENST00000377532",111,72,104,77,69,246,268
"ENST00000377541",12,6,11,11,3,30,39
"ENST00000613533",29,17,34,21,6,64,70
"ENST00000614998",39,28,42,40,33,134,150
