"isoform_id","gene_id","gene_symbol"
"ENST00000551495","ENSG00000136040","PLXNC1"
"ENST00000545312","ENSG00000136040","PLXNC1"
"ENST00000549187","ENSG00000136040","PLXNC1"
"ENST00000546587","ENSG00000173588","CEP83"
"ENST00000549352","ENSG00000173588","CEP83"
"ENST00000550328","ENSG00000173588","CEP83"
"ENST00000552239","ENSG00000057704","TMCC3"
"ENST00000547469","ENSG00000120798","NR2C1"
"ENST00000550368","ENSG00000180263","FGD6"
"ENST00000547484","ENSG00000028203","VEZT"
"ENST00000546478","ENSG00000111142","METAP2"
"ENST00000546816","ENSG00000165972","CCDC38"
"ENST00000344280","ENSG00000165972","CCDC38"
"ENST00000546803","ENSG00000165972","CCDC38"
"ENST00000541929","ENSG00000084110","HAL"
"ENST00000552789","ENSG00000111144","LTA4H"
"ENST00000547860","ENSG00000111145","ELK3"
"ENST00000549899","ENSG00000059758","CDK17"
"ENST00000553042","ENSG00000059758","CDK17"
"ENST00000552262","ENSG00000059758","CDK17"
"ENST00000342887","ENSG00000188596","CFAP54"
"ENST00000550527","ENSG00000120868","APAF1"
"ENST00000547045","ENSG00000120868","APAF1"
"ENST00000555047","ENSG00000120868","APAF1"
"ENST00000546491","ENSG00000120868","APAF1"
"ENST00000555119","ENSG00000185046","ANKS1B"
"ENST00000549558","ENSG00000185046","ANKS1B"
"ENST00000552210","ENSG00000185046","ANKS1B"
"ENST00000550157","ENSG00000185046","ANKS1B"
"ENST00000550544","ENSG00000111647","BLTP3B"
"ENST00000551980","ENSG00000111647","BLTP3B"
"ENST00000551517","ENSG00000075089","ACTR6"
"ENST00000551617","ENSG00000075089","ACTR6"
"ENST00000549486","ENSG00000136021","SCYL2"
"ENST00000539410","ENSG00000139354","GAS2L3"
"ENST00000548067","ENSG00000139354","GAS2L3"
"ENST00000551346","ENSG00000166211","SPIC"
"ENST00000552329","ENSG00000111666","CHPT1"
"ENST00000478238","ENSG00000139351","SYCP3"
"ENST00000549194","ENSG00000111670","GNPTAB"
"ENST00000549940","ENSG00000111670","GNPTAB"
